name,price,location,sold,link,date
"MSI Modern 14-B11SB-218ID (Bluestone) - Ci7-1165G7/512G SSD/16GB/MX450-2GB/W10H/14""/2YR",15.999.000,KOTA JAKARTA BARAT,0,https://shopee.co.id/MSI-Modern-14-B11SB-218ID-(Bluestone)-Ci7-1165G7-512G-SSD-16GB-MX450-2GB-W10H-14-2YR-i.41303795.8606063507,28-01-2021
MSI GL65 LEOPARD 10SEK - 423ID | i7-10750H | RTX2060 6GB | 512GB NVME,21.499.000,KOTA JAKARTA BARAT,0,https://shopee.co.id/MSI-GL65-LEOPARD-10SEK-423ID-i7-10750H-RTX2060-6GB-512GB-NVME-i.41303795.7942118098,28-01-2021
Laptop MSI PRESTIGE 14 A11SCX i7-1185G7 512GB SSD GTX1650 4GB Windows 10 9S7-14C413-230,19.591.000,KOTA JAKARTA PUSAT,65,https://shopee.co.id/Laptop-MSI-PRESTIGE-14-A11SCX-i7-1185G7-512GB-SSD-GTX1650-4GB-Windows-10-9S7-14C413-230-i.148846460.4740996139,28-01-2021
"MSI PRESTIGE Intel Core i7 10710H - RAM 8GB - 512GB SSD - GTX1650 4GB - Win10 - 14""FHD - Grey",18.699.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/MSI-PRESTIGE-Intel-Core-i7-10710H-RAM-8GB-512GB-SSD-GTX1650-4GB-Win10-14-FHD-Grey-i.291375862.4158994814,28-01-2021
MSI Prestige 14 A10SC (9S7-14C112-061),19.999.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/MSI-Prestige-14-A10SC-(9S7-14C112-061)-i.95106793.4408737399,28-01-2021
"MSI Prestige 14 A10SC-078ID Core i7-10710U/1TB SSD/16GB/GTX1650/14"" W10/4K",30.530.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-Prestige-14-A10SC-078ID-Core-i7-10710U-1TB-SSD-16GB-GTX1650-14-W10-4K-i.24011016.5332801743,28-01-2021
MSI PRESTIGE X570 CREATION - AM4,7.997.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-PRESTIGE-X570-CREATION-AM4-i.95106793.2409030708,28-01-2021
MSI Prestige 15 A10SC (9S7-16S311-079),30.399.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/MSI-Prestige-15-A10SC-(9S7-16S311-079)-i.95106793.3411359808,28-01-2021
MSI Prestige 14 A10SC / 9S7-14C112-041,25.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-Prestige-14-A10SC-9S7-14C112-041-i.746822.4408736601,28-01-2021
MSI Prestige 15 A10SC (9S7-16S311-080),20.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-Prestige-15-A10SC-(9S7-16S311-080)-i.95106793.4408737813,28-01-2021
